Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,066062,1883,01,24.8,Y
IDCJAC0002,066062,1883,02,24.5,Y
IDCJAC0002,066062,1883,03,23.7,Y
IDCJAC0002,066062,1883,04,21.2,Y
IDCJAC0002,066062,1883,05,17.9,Y
IDCJAC0002,066062,1883,06,16.6,Y
IDCJAC0002,066062,1883,07,15.0,Y
IDCJAC0002,066062,1883,08,17.8,Y
IDCJAC0002,066062,1883,09,18.0,Y
IDCJAC0002,066062,1883,10,20.3,Y
IDCJAC0002,066062,1883,11,22.0,Y
IDCJAC0002,066062,1883,12,26.2,Y
IDCJAC0002,066062,1884,01,26.1,Y
IDCJAC0002,066062,1884,02,26.0,Y
IDCJAC0002,066062,1884,03,24.1,Y
IDCJAC0002,066062,1884,04,20.9,Y
IDCJAC0002,066062,1884,05,18.0,Y
IDCJAC0002,066062,1884,06,15.9,Y
IDCJAC0002,066062,1884,07,16.5,Y
IDCJAC0002,066062,1884,08,18.4,Y
IDCJAC0002,066062,1884,09,19.3,Y
IDCJAC0002,066062,1884,10,21.2,Y
IDCJAC0002,066062,1884,11,21.9,Y
IDCJAC0002,066062,1884,12,25.9,Y
IDCJAC0002,066062,1885,01,26.5,Y
IDCJAC0002,066062,1885,02,26.4,Y
IDCJAC0002,066062,1885,03,24.3,Y
IDCJAC0002,066062,1885,04,21.6,Y
IDCJAC0002,066062,1885,05,19.8,Y
IDCJAC0002,066062,1885,06,15.5,Y
IDCJAC0002,066062,1885,07,14.9,Y
IDCJAC0002,066062,1885,08,18.6,Y
IDCJAC0002,066062,1885,09,21.1,Y
IDCJAC0002,066062,1885,10,22.3,Y
IDCJAC0002,066062,1885,11,23.4,Y
IDCJAC0002,066062,1885,12,25.2,Y
IDCJAC0002,066062,1886,01,26.4,Y
IDCJAC0002,066062,1886,02,27.0,Y
IDCJAC0002,066062,1886,03,24.3,Y
IDCJAC0002,066062,1886,04,21.8,Y
IDCJAC0002,066062,1886,05,18.9,Y
IDCJAC0002,066062,1886,06,15.4,Y
IDCJAC0002,066062,1886,07,15.3,Y
IDCJAC0002,066062,1886,08,17.1,Y
IDCJAC0002,066062,1886,09,19.3,Y
IDCJAC0002,066062,1886,10,21.8,Y
IDCJAC0002,066062,1886,11,24.1,Y
IDCJAC0002,066062,1886,12,24.0,Y
IDCJAC0002,066062,1887,01,26.2,Y
IDCJAC0002,066062,1887,02,24.8,Y
IDCJAC0002,066062,1887,03,24.7,Y
IDCJAC0002,066062,1887,04,21.0,Y
IDCJAC0002,066062,1887,05,16.7,Y
IDCJAC0002,066062,1887,06,14.1,Y
IDCJAC0002,066062,1887,07,15.4,Y
IDCJAC0002,066062,1887,08,15.6,Y
IDCJAC0002,066062,1887,09,18.1,Y
IDCJAC0002,066062,1887,10,21.5,Y
IDCJAC0002,066062,1887,11,21.5,Y
IDCJAC0002,066062,1887,12,23.8,Y
IDCJAC0002,066062,1888,01,25.4,Y
IDCJAC0002,066062,1888,02,25.0,Y
IDCJAC0002,066062,1888,03,24.1,Y
IDCJAC0002,066062,1888,04,22.3,Y
IDCJAC0002,066062,1888,05,17.8,Y
IDCJAC0002,066062,1888,06,16.8,Y
IDCJAC0002,066062,1888,07,15.6,Y
IDCJAC0002,066062,1888,08,16.8,Y
IDCJAC0002,066062,1888,09,18.4,Y
IDCJAC0002,066062,1888,10,20.8,Y
IDCJAC0002,066062,1888,11,24.1,Y
IDCJAC0002,066062,1888,12,24.6,Y
IDCJAC0002,066062,1889,01,26.3,Y
IDCJAC0002,066062,1889,02,25.3,Y
IDCJAC0002,066062,1889,03,24.3,Y
IDCJAC0002,066062,1889,04,21.1,Y
IDCJAC0002,066062,1889,05,18.9,Y
IDCJAC0002,066062,1889,06,16.0,Y
IDCJAC0002,066062,1889,07,14.3,Y
IDCJAC0002,066062,1889,08,15.9,Y
IDCJAC0002,066062,1889,09,17.4,Y
IDCJAC0002,066062,1889,10,21.1,Y
IDCJAC0002,066062,1889,11,22.7,Y
IDCJAC0002,066062,1889,12,26.1,Y
IDCJAC0002,066062,1890,01,25.1,Y
IDCJAC0002,066062,1890,02,24.5,Y
IDCJAC0002,066062,1890,03,23.1,Y
IDCJAC0002,066062,1890,04,20.4,Y
IDCJAC0002,066062,1890,05,17.7,Y
IDCJAC0002,066062,1890,06,16.6,Y
IDCJAC0002,066062,1890,07,13.6,Y
IDCJAC0002,066062,1890,08,16.6,Y
IDCJAC0002,066062,1890,09,19.3,Y
IDCJAC0002,066062,1890,10,23.3,Y
IDCJAC0002,066062,1890,11,22.9,Y
IDCJAC0002,066062,1890,12,23.6,Y
IDCJAC0002,066062,1891,01,27.3,Y
IDCJAC0002,066062,1891,02,24.0,Y
IDCJAC0002,066062,1891,03,23.9,Y
IDCJAC0002,066062,1891,04,20.8,Y
IDCJAC0002,066062,1891,05,17.8,Y
IDCJAC0002,066062,1891,06,15.8,Y
IDCJAC0002,066062,1891,07,14.5,Y
IDCJAC0002,066062,1891,08,16.3,Y
IDCJAC0002,066062,1891,09,17.6,Y
IDCJAC0002,066062,1891,10,21.2,Y
IDCJAC0002,066062,1891,11,22.5,Y
IDCJAC0002,066062,1891,12,26.4,Y
IDCJAC0002,066062,1892,01,25.1,Y
IDCJAC0002,066062,1892,02,25.7,Y
IDCJAC0002,066062,1892,03,23.7,Y
IDCJAC0002,066062,1892,04,20.2,Y
IDCJAC0002,066062,1892,05,18.2,Y
IDCJAC0002,066062,1892,06,15.5,Y
IDCJAC0002,066062,1892,07,14.8,Y
IDCJAC0002,066062,1892,08,16.0,Y
IDCJAC0002,066062,1892,09,17.9,Y
IDCJAC0002,066062,1892,10,20.7,Y
IDCJAC0002,066062,1892,11,22.7,Y
IDCJAC0002,066062,1892,12,23.9,Y
IDCJAC0002,066062,1893,01,24.1,Y
IDCJAC0002,066062,1893,02,24.1,Y
IDCJAC0002,066062,1893,03,23.0,Y
IDCJAC0002,066062,1893,04,20.0,Y
IDCJAC0002,066062,1893,05,18.0,Y
IDCJAC0002,066062,1893,06,15.1,Y
IDCJAC0002,066062,1893,07,15.3,Y
IDCJAC0002,066062,1893,08,16.8,Y
IDCJAC0002,066062,1893,09,19.6,Y
IDCJAC0002,066062,1893,10,21.5,Y
IDCJAC0002,066062,1893,11,23.3,Y
IDCJAC0002,066062,1893,12,24.8,Y
IDCJAC0002,066062,1894,01,25.8,Y
IDCJAC0002,066062,1894,02,25.2,Y
IDCJAC0002,066062,1894,03,23.2,Y
IDCJAC0002,066062,1894,04,21.7,Y
IDCJAC0002,066062,1894,05,17.3,Y
IDCJAC0002,066062,1894,06,16.3,Y
IDCJAC0002,066062,1894,07,14.8,Y
IDCJAC0002,066062,1894,08,16.7,Y
IDCJAC0002,066062,1894,09,17.5,Y
IDCJAC0002,066062,1894,10,21.2,Y
IDCJAC0002,066062,1894,11,26.5,Y
IDCJAC0002,066062,1894,12,24.8,Y
IDCJAC0002,066062,1895,01,23.6,Y
IDCJAC0002,066062,1895,02,24.4,Y
IDCJAC0002,066062,1895,03,23.7,Y
IDCJAC0002,066062,1895,04,21.6,Y
IDCJAC0002,066062,1895,05,17.7,Y
IDCJAC0002,066062,1895,06,16.2,Y
IDCJAC0002,066062,1895,07,14.3,Y
IDCJAC0002,066062,1895,08,17.9,Y
IDCJAC0002,066062,1895,09,20.0,Y
IDCJAC0002,066062,1895,10,23.0,Y
IDCJAC0002,066062,1895,11,22.8,Y
IDCJAC0002,066062,1895,12,27.2,Y
IDCJAC0002,066062,1896,01,29.5,Y
IDCJAC0002,066062,1896,02,24.9,Y
IDCJAC0002,066062,1896,03,23.5,Y
IDCJAC0002,066062,1896,04,22.3,Y
IDCJAC0002,066062,1896,05,18.6,Y
IDCJAC0002,066062,1896,06,15.0,Y
IDCJAC0002,066062,1896,07,13.4,Y
IDCJAC0002,066062,1896,08,15.1,Y
IDCJAC0002,066062,1896,09,18.3,Y
IDCJAC0002,066062,1896,10,23.2,Y
IDCJAC0002,066062,1896,11,22.1,Y
IDCJAC0002,066062,1896,12,25.4,Y
IDCJAC0002,066062,1897,01,25.7,Y
IDCJAC0002,066062,1897,02,25.5,Y
IDCJAC0002,066062,1897,03,23.8,Y
IDCJAC0002,066062,1897,04,23.7,Y
IDCJAC0002,066062,1897,05,18.7,Y
IDCJAC0002,066062,1897,06,16.3,Y
IDCJAC0002,066062,1897,07,15.8,Y
IDCJAC0002,066062,1897,08,16.0,Y
IDCJAC0002,066062,1897,09,19.7,Y
IDCJAC0002,066062,1897,10,22.5,Y
IDCJAC0002,066062,1897,11,26.4,Y
IDCJAC0002,066062,1897,12,23.8,Y
IDCJAC0002,066062,1898,01,26.4,Y
IDCJAC0002,066062,1898,02,26.1,Y
IDCJAC0002,066062,1898,03,24.6,Y
IDCJAC0002,066062,1898,04,21.9,Y
IDCJAC0002,066062,1898,05,16.6,Y
IDCJAC0002,066062,1898,06,15.7,Y
IDCJAC0002,066062,1898,07,15.4,Y
IDCJAC0002,066062,1898,08,16.4,Y
IDCJAC0002,066062,1898,09,20.6,Y
IDCJAC0002,066062,1898,10,23.5,Y
IDCJAC0002,066062,1898,11,25.2,Y
IDCJAC0002,066062,1898,12,23.7,Y
IDCJAC0002,066062,1899,01,26.2,Y
